Order ID,Order Date,Ship Date,Customer Name,Customer ID,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1000,19-09-2024,23-09-2024,Matthew Brown,CUST266,Corporate,PROD5112,Sofa,Furniture,West,Arkansas,West Jeremy,4,3916,0,15664,10347.06,5316.94,UPI,Returned,White Group,clairecobb@shelton-savage.com,32,No,0
ORD1001,16-01-2024,19-01-2024,Derrick Long,CUST387,Home Office,PROD6795,Headphones,Electronics,West,Maryland,West Jamiechester,1,2617,15,2224.45,1528.1,696.35,Cash,Returned,Patel-Clark,lanetracey@pineda-reyes.info,15,No,0
ORD1002,08-07-2024,13-07-2024,Jonathan Sherman,CUST901,Corporate,PROD9137,laptop,Electronics,East,Minnesota,New Lisaberg,1,4118,5,3912.1,2559.11,1352.99,Cash,Delivered,Mcdowell-Watkins,tjones@davis.com,39,No,0
ORD1003,10-08-2025,13-08-2025,Aaron Sandoval,CUST169,Home Office,PROD6459,pen,Office Supplies,North,Maine,Lake Robertmouth,3,1408,20,3379.2,2578.31,800.89,Cash,Delivered,Ramos-Guzman,jacobthomas@gay-brown.info,36,No,0
ORD1004,06-09-2024,08-09-2024,Nicole Morris,CUST952,Consumer,PROD1588,notebook,Office Supplies,South,South Dakota,West Robert,9,4025,20,28980,25002.56,3977.44,Credit Card,Pending,Herrera-Lucas,ylewis@gay.com,9,Yes,38
ORD1005,29-06-2024,06-07-2024,Joanna Rhodes,CUST288,Corporate,PROD3571,mouse,Electronics,North,Tennessee,Kurtshire,5,2352,0,11760,7105.5,4654.5,Credit Card,Returned,"Price, Harris and James",randallsamuel@parrish.com,21,No,0
ORD1006,13-07-2024,20-07-2024,Jean Caldwell,CUST727,Home Office,PROD2828,keyboard,Electronics,West,Maryland,Lanestad,10,209,10,1881,1469.38,411.62,Credit Card,Cancelled,Banks Inc,lmoore@robbins-wilson.net,22,No,0
ORD1007,21-09-2024,23-09-2024,Charles Obrien,CUST932,Home Office,PROD9526,notebook,Office Supplies,West,Rhode Island,Carlshire,2,1264,0,2528,2025.45,502.55,Credit Card,Delivered,"Stevens, Perez and Herman",danielchristian@gregory-mooney.org,38,No,0
ORD1008,27-08-2025,03-09-2025,Kenneth Miranda,CUST365,Home Office,PROD2039,keyboard,Electronics,West,Alaska,Chadberg,4,982,5,3731.6,2924.57,807.03,Credit Card,Cancelled,Ellis-Le,wfields@grant-carter.com,5,Yes,78
ORD1009,12-11-2024,13-11-2024,Jeremy Soto,CUST599,Home Office,PROD9930,stapler,Office Supplies,North,Utah,Scottfurt,3,3674,20,8817.6,6582.92,2234.68,Credit Card,Pending,Bishop-Kelley,justinsantiago@watson-mitchell.com,46,No,0
ORD1010,18-11-2024,21-11-2024,Lorraine Thomas,CUST152,Home Office,PROD3185,Snacks,Grocery,East,Delaware,Amyberg,2,3097,15,5264.9,4483.82,781.08,Net Banking,Delivered,Bruce-Ho,sheilabaker@campos-mcintosh.com,19,No,0
ORD1011,31-05-2024,06-06-2024,Cynthia Bowman,CUST188,Home Office,PROD4120,stapler,Office Supplies,North,Utah,East Christopherton,7,3628,20,20316.8,15535.32,4781.48,Net Banking,Returned,"Lowe, Gutierrez and Edwards",steven22@sparks-curtis.info,46,No,0
ORD1012,07-04-2025,09-04-2025,Keith Rodriguez,CUST910,Home Office,PROD7836,mouse,Electronics,East,Indiana,Barreraborough,9,1923,5,16441.65,13940.79,2500.86,UPI,Cancelled,Bradford-Sosa,sullivanscott@adams.info,29,No,0
